#,Name,     Type     ,Initial Value [Unit],Expression [Unit] or [Unit/s]
69,CamR_Ca1_total,assignment,0,Values[Free_CamR_Ca1_total]+Values[CaMKII_CamR_Ca1_total]+Values[Dp/0_PP2B_CamR_Ca1]
70,PP1_total,assignment,2.00E-06,[PP1a]+[PP1a_Dp]+[CaMKIIp_PP1a]+[CamR_CaMKIIp_PP1a]+[CamR_Ca1_A_CaMKIIp_PP1a]+[CamR_Ca1_B_CaMKIIp_PP1a]+[CamR_Ca1_C_CaMKIIp_PP1a]+[CamR_Ca1_D_CaMKIIp_PP1a]+[CamR_Ca2_AB_CaMKIIp_PP1a]+[CamR_Ca2_AC_CaMKIIp_PP1a]+[CamR_Ca2_AD_CaMKIIp_PP1a]+[CamR_Ca2_BC_CaMKIIp_PP1a]+[CamR_Ca2_BD_CaMKIIp_PP1a]+[CamR_Ca2_CD_CaMKIIp_PP1a]+[CamR_Ca3_ABC_CaMKIIp_PP1a]+[CamR_Ca3_ABD_CaMKIIp_PP1a]+[CamR_Ca3_ACD_CaMKIIp_PP1a]+[CamR_Ca3_BCD_CaMKIIp_PP1a]+[CamR_Ca4_ABCD_CaMKIIp_PP1a]
71,K_CBPslow_Ca_off,fixed,10,
72,K_CamR_CaMKII/p_on,fixed,3200000,
73,K_D_PKA_off_p,fixed,2.7,
74,K_CamMKIIp_PP1a_on,fixed,3.00E+06,
75,K_CamMKIIp_PP1a_off,fixed,5.00E-01,
76,K_CamMKIIp_PP1a_p_off,fixed,2.00E+00,
77,K_CBPslow_Ca_on,fixed,1.00E+07,
78,K_CBPvslow_Ca_off,fixed,1.00E+00,
79,K_CBPvslow_Ca_on,fixed,1.00E+06,
80,K_Cam_Ca_on,fixed,1400000,
81,K_CamT_Ca_A_off,fixed,2.94E+03,
82,K_CamT_Ca_B_off,fixed,5.87,
83,K_CamT_Ca_C_off,fixed,6150,
84,K_CamT_Ca_D_off,fixed,5.13,
85,K_CamR_T,fixed,1.00E+06,
86,K_CamT_R,fixed,48.3793,
87,K_CamR_CaMKII_off,fixed,0.343,
88,K_CamR_PP2B_on,fixed,4.60E+07,
89,K_CamR_PP2B_off,fixed,0.4,
90,K_CamR_Ca_C_off,fixed,24.36,
91,K_CamR_Ca_D_off,fixed,2.03E-02,
92,K_CamR_Ca_A_off,fixed,11.65,
93,K_CamR_Ca_B_off,fixed,0.0232,
94,K_CamR_CaMKIIp_off,fixed,0.001,
95,K_D_PKA_on,fixed,5600000,
96,K_D_PKA_off,fixed,10.8,
97,K_CamR_PP2B_Dp_on,fixed,4100000,
98,K_CamR_PP2B_Dp_off,fixed,6.4,
99,K_CamR_PP2B_D_off,fixed,0.2,
100,K_PP1a_Dp_on,fixed,4.00E+06,
101,K_PP1a_Dp_off,fixed,0.4,
102,K_CBP_fast_on,fixed,1.00E+09,
103,K_CBP_fast_off,fixed,1000,
104,K_CBP_media_on,fixed,1.00E+08,
105,K_CBP_media_off,fixed,1.00E+02,
106,K_PP2Bi_Ca_on,fixed,2.00E+07,
107,K_PP2Bi_Ca1_Ca_off,fixed,9.20E-03,
108,K_PP2Bi_Ca2_Ca_off,fixed,3.12E-02,
109,K_PP2Bi_Ca3_Ca_off,fixed,0.352,
110,K_PP2B_Ca_off,fixed,0.9,
111,AMPAR_bar,assignment,0.1,[AMPAR_P]/([AMPAR_P]+[AMPAR])
112,K_CamR_to_T_Ca2,assignment,3960,Values[C_A/B/C/D]*Values[K_CamR_T]
113,C_A/B/C/D,fixed,3.96E-03,
114,K_CamT_to_R_Ca2,assignment,12216.99495,Values[K_CamT_R]/Values[C_A/B/C/D]
115,K_CamR_to_T_Ca1,assignment,62928.53089,Values[K_CamR_T]*Values[C_A/B/C/D]^(1/2)
116,K_CamT_to_R_Ca1,assignment,768.7975441,Values[K_CamT_R]/Values[C_A/B/C/D]^(1/2)
117,K_CamR_to_T_Ca3,assignment,249.1969823,Values[K_CamR_T]*Values[C_A/B/C/D]^(3/2)
118,K_CamT_to_R_Ca3,assignment,194140.794,Values[K_CamT_R]/Values[C_A/B/C/D]^(3/2)
119,K_CamR_to_T_Ca4,assignment,15.6816,Values[K_CamR_T]*Values[C_A/B/C/D]^2
120,K_CamT_to_R_Ca4,assignment,3.09E+06,Values[K_CamT_R]/Values[C_A/B/C/D]^2
121,Ca_initial,assignment,7.25E-09,[Ca]_0
122,PKA_initial,assignment,1.20E-08,[PKA]_0
123,K_cat,fixed,0.5,
124,Km_AMPAR phosphorylation,fixed,9.00E-05,
125,Km_AMPAR dephosphorylation,fixed,2.00E-06,
126,K_AMPAR_phosphorylation,assignment,0,Values[K_cat]*Values[CaMKII_active_total]/([AMPAR]+Values[Km_AMPAR phosphorylation])
127,K_AMPARp_dephosphorylation,assignment,0.4616682,Values[K_cat]*Values[PP1a_total]/([AMPAR_P]+Values[Km_AMPAR dephosphorylation])
128,K_CaMKII_autoPhosphorylation,assignment,0,"max((-0.929*Values[CaMKII_active_ratio]^5+3.128*Values[CaMKII_active_ratio]^4-4.249*Values[CaMKII_active_ratio]^3+2.998*Values[CaMKII_active_ratio]^2+0.05152*Values[CaMKII_active_ratio]-0.001008)*Values[k_for_CaMKII_autophosphorylation],0)"
129,k_for_CaMKII_autophosphorylation,fixed,6.3,
130,CaMKII_total,assignment,7.00E-05,[CamR_CaMKII]+[CamR_Ca1_A_CaMKII]+[CamR_Ca1_B_CaMKII]+[CamR_Ca1_C_CaMKII]+[CamR_Ca1_D_CaMKII]+[CamR_Ca1_A_CaMKIIp]+[CamR_Ca1_B_CaMKIIp]+[CamR_Ca1_C_CaMKIIp]+[CamR_Ca1_D_CaMKIIp]+[CamR_Ca1_A_CaMKIIp_PP1a]+[CamR_Ca1_B_CaMKIIp_PP1a]+[CamR_Ca1_C_CaMKIIp_PP1a]+[CamR_Ca1_D_CaMKIIp_PP1a]+[CamR_Ca2_AB_CaMKII]+[CamR_Ca2_AC_CaMKII]+[CamR_Ca2_AD_CaMKII]+[CamR_Ca2_BC_CaMKII]+[CamR_Ca2_BD_CaMKII]+[CamR_Ca2_CD_CaMKII]+[CamR_Ca2_AB_CaMKIIp]+[CamR_Ca2_AC_CaMKIIp]+[CamR_Ca2_AD_CaMKIIp]+[CamR_Ca2_BC_CaMKIIp]+[CamR_Ca2_BD_CaMKIIp]+[CamR_Ca2_CD_CaMKIIp]+[CamR_Ca2_AB_CaMKIIp_PP1a]+[CamR_Ca2_AC_CaMKIIp_PP1a]+[CamR_Ca2_AD_CaMKIIp_PP1a]+[CamR_Ca2_BC_CaMKIIp_PP1a]+[CamR_Ca2_BD_CaMKIIp_PP1a]+[CamR_Ca2_CD_CaMKIIp_PP1a]+[CamR_Ca3_ABC_CaMKII]+[CamR_Ca3_ABD_CaMKII]+[CamR_Ca3_ACD_CaMKII]+[CamR_Ca3_BCD_CaMKII]+[CamR_Ca3_ABC_CaMKIIp]+[CamR_Ca3_ABD_CaMKIIp]+[CamR_Ca3_ACD_CaMKIIp]+[CamR_Ca3_BCD_CaMKIIp]+[CamR_Ca3_ABC_CaMKIIp_PP1a]+[CamR_Ca3_ABD_CaMKIIp_PP1a]+[CamR_Ca3_ACD_CaMKIIp_PP1a]+[CamR_Ca3_BCD_CaMKIIp_PP1a]+[CamR_Ca4_ABCD_CaMKII]+[CamR_CaMKIIp]+[CamR_CaMKIIp_PP1a]+[CamR_Ca4_ABCD_CaMKIIp]+[CamR_Ca4_ABCD_CaMKIIp_PP1a]+[CaMKII]+[CaMKIIp]+[CaMKIIp_PP1a]
131,CaMKII_active_total,assignment,0,[CamR_CaMKII]+[CamR_Ca1_A_CaMKII]+[CamR_Ca1_B_CaMKII]+[CamR_Ca1_C_CaMKII]+[CamR_Ca1_D_CaMKII]+[CamR_Ca1_A_CaMKIIp]+[CamR_Ca1_B_CaMKIIp]+[CamR_Ca1_C_CaMKIIp]+[CamR_Ca1_D_CaMKIIp]+[CamR_Ca1_A_CaMKIIp_PP1a]+[CamR_Ca1_B_CaMKIIp_PP1a]+[CamR_Ca1_C_CaMKIIp_PP1a]+[CamR_Ca1_D_CaMKIIp_PP1a]+[CamR_Ca2_AB_CaMKII]+[CamR_Ca2_AC_CaMKII]+[CamR_Ca2_AD_CaMKII]+[CamR_Ca2_BC_CaMKII]+[CamR_Ca2_BD_CaMKII]+[CamR_Ca2_CD_CaMKII]+[CamR_Ca2_AB_CaMKIIp]+[CamR_Ca2_AC_CaMKIIp]+[CamR_Ca2_AD_CaMKIIp]+[CamR_Ca2_BC_CaMKIIp]+[CamR_Ca2_BD_CaMKIIp]+[CamR_Ca2_CD_CaMKIIp]+[CamR_Ca2_AB_CaMKIIp_PP1a]+[CamR_Ca2_AC_CaMKIIp_PP1a]+[CamR_Ca2_AD_CaMKIIp_PP1a]+[CamR_Ca2_BC_CaMKIIp_PP1a]+[CamR_Ca2_BD_CaMKIIp_PP1a]+[CamR_Ca2_CD_CaMKIIp_PP1a]+[CamR_Ca3_ABC_CaMKII]+[CamR_Ca3_ABD_CaMKII]+[CamR_Ca3_ACD_CaMKII]+[CamR_Ca3_BCD_CaMKII]+[CamR_Ca3_ABC_CaMKIIp]+[CamR_Ca3_ABD_CaMKIIp]+[CamR_Ca3_ACD_CaMKIIp]+[CamR_Ca3_BCD_CaMKIIp]+[CamR_Ca3_ABC_CaMKIIp_PP1a]+[CamR_Ca3_ABD_CaMKIIp_PP1a]+[CamR_Ca3_ACD_CaMKIIp_PP1a]+[CamR_Ca3_BCD_CaMKIIp_PP1a]+[CamR_Ca4_ABCD_CaMKII]+[CamR_CaMKIIp]+[CamR_CaMKIIp_PP1a]+[CamR_Ca4_ABCD_CaMKIIp]+[CamR_Ca4_ABCD_CaMKIIp_PP1a]+[CaMKIIp]+[CaMKIIp_PP1a]
132,PP2B_non_i,assignment,0,Values[PP2B_total]-[PP2Bi_Ca1]-[PP2Bi_Ca2]-[PP2Bi_Ca3]-[PP2Bi]
133,Total_Ca,assignment,7.25E-09,Values[Cam_Ca1_total]+Values[Cam_Ca2_total]*2+Values[Cam_Ca3_total]*3+Values[Cam_Ca4_total]*4+[PP2Bi_Ca1]+[PP2Bi_Ca2]*2+[PP2Bi_Ca3]*3+[PP2B]*4+Values[PP2B_bound_total]*4+[Ca]
134,Fre,fixed,1584,
135,con,fixed,2.00E-08,
136,ratio,fixed,10,
,,,,
