,C1P1,C1P2,C1P3,C2P1,C2P2,C2P3,C3P1,C3P2,C3P3,Time
94000,0.249173,0.298557,0.346088,0.192267,0.216923,0.241236,0.129099,0.147275,0.170824,94.0
95000,0.249442,0.300088,0.34812600000000005,0.191896,0.21689099999999997,0.241218,0.128744,0.146992,0.170748,95.0
96000,0.249732,0.301651,0.350165,0.191528,0.216867,0.241196,0.128394,0.14671099999999998,0.170674,96.0
97000,0.250046,0.303242,0.352202,0.191166,0.21685100000000002,0.24125100000000002,0.128051,0.14643299999999998,0.1706,97.0
98000,0.250382,0.30486199999999997,0.354236,0.19080899999999998,0.216844,0.241225,0.12771300000000002,0.14615799999999998,0.17052799999999999,98.0
99000,0.250743,0.306508,0.35626599999999997,0.190456,0.21684499999999998,0.241294,0.127381,0.145886,0.170457,99.0
100000,0.251127,0.308178,0.35829,0.190109,0.21685500000000002,0.24131999999999998,0.127054,0.145616,0.17038699999999998,100.0
101000,0.251535,0.309872,0.360306,0.18976600000000002,0.216873,0.24134299999999997,0.12673399999999999,0.14535,0.170318,101.0
102000,0.251969,0.311587,0.36231399999999997,0.18942799999999999,0.2169,0.24144200000000002,0.126419,0.145086,0.17025,102.0
103000,0.25242800000000004,0.313322,0.364311,0.189095,0.21693600000000002,0.24145999999999998,0.126109,0.144825,0.170184,103.0
104000,0.25291199999999997,0.315075,0.366296,0.18876700000000002,0.216981,0.24157399999999998,0.125805,0.144567,0.17011800000000002,104.0
105000,0.253423,0.316844,0.36827,0.188443,0.217034,0.24164499999999997,0.125506,0.144312,0.17005399999999998,105.0
106000,0.25395999999999996,0.318629,0.370229,0.188125,0.21709699999999998,0.241713,0.12521300000000002,0.144059,0.16999,106.0
107000,0.254524,0.32042600000000004,0.372174,0.18781099999999998,0.217169,0.24185700000000002,0.124925,0.14381,0.169928,107.0
108000,0.255116,0.322236,0.374104,0.187503,0.21725100000000003,0.241921,0.124642,0.14356300000000002,0.16986600000000002,108.0
109000,0.255735,0.32405500000000004,0.376017,0.187199,0.217342,0.242081,0.124365,0.14332,0.16980499999999998,109.0
110000,0.25638299999999997,0.325883,0.377913,0.1869,0.217442,0.242198,0.12409300000000001,0.14307899999999998,0.169746,110.0
111000,0.25705900000000004,0.327717,0.379792,0.186606,0.21755300000000002,0.242313,0.123826,0.142841,0.16968699999999998,111.0
112000,0.257764,0.329557,0.381652,0.186317,0.217673,0.242504,0.12356400000000001,0.14260599999999998,0.169629,112.0
113000,0.258499,0.3314,0.383494,0.186033,0.217804,0.242616,0.123306,0.142373,0.169573,113.0
114000,0.259263,0.333246,0.385316,0.185753,0.21794499999999997,0.242823,0.123054,0.142144,0.169517,114.0
115000,0.260056,0.335093,0.387119,0.185479,0.218096,0.242988,0.122807,0.14191700000000002,0.169462,115.0
116000,0.26088,0.33694,0.388901,0.18520899999999998,0.21825799999999998,0.243152,0.122564,0.14169400000000001,0.169407,116.0
117000,0.261734,0.338785,0.39066300000000004,0.184944,0.21843,0.24339,0.122326,0.14147300000000002,0.169354,117.0
118000,0.26261799999999996,0.340627,0.392405,0.184684,0.21861399999999998,0.243552,0.12209300000000001,0.141255,0.169302,118.0
119000,0.263533,0.342464,0.394125,0.184429,0.218809,0.24380700000000002,0.12186400000000001,0.14104,0.16925,119.0
120000,0.264479,0.34429699999999996,0.39582399999999995,0.184179,0.219016,0.244022,0.12164000000000001,0.140828,0.169199,120.0
121000,0.265455,0.346123,0.397503,0.18393299999999999,0.219234,0.24423499999999998,0.12142,0.140619,0.169149,121.0
122000,0.266462,0.34794200000000003,0.39915900000000004,0.183693,0.219464,0.244523,0.121205,0.140413,0.1691,122.0
123000,0.267499,0.34975300000000004,0.40079499999999996,0.18345699999999998,0.21970599999999998,0.244736,0.120994,0.140209,0.169051,123.0
124000,0.268567,0.351555,0.402409,0.183225,0.21996100000000002,0.24504099999999998,0.12078699999999999,0.140009,0.169003,124.0
125000,0.269664,0.353346,0.404001,0.182998,0.220228,0.24530700000000003,0.120584,0.139811,0.168956,125.0
126000,0.27079200000000003,0.35512699999999997,0.405572,0.182776,0.22050799999999998,0.24557199999999998,0.12038499999999999,0.13961600000000002,0.16891,126.0
127000,0.27195,0.356896,0.407121,0.182559,0.2208,0.24591,0.12019,0.139423,0.16886400000000001,127.0
128000,0.27313699999999996,0.35865199999999997,0.408649,0.182346,0.22110700000000003,0.246175,0.119999,0.139234,0.168819,128.0
129000,0.274354,0.360396,0.410156,0.182137,0.221426,0.24653200000000003,0.11981199999999999,0.139047,0.168775,129.0
130000,0.275599,0.362126,0.411641,0.18193299999999998,0.22175999999999998,0.24685,0.119629,0.13886400000000002,0.168731,130.0
131000,0.276872,0.363842,0.41310600000000003,0.181733,0.22210700000000003,0.24716799999999997,0.11945,0.138683,0.168689,131.0
132000,0.278172,0.365543,0.414549,0.181538,0.222469,0.247559,0.119274,0.138504,0.168646,132.0
133000,0.279499,0.36723,0.415972,0.181347,0.222845,0.247877,0.119101,0.138329,0.168605,133.0
134000,0.280853,0.3689,0.41737399999999997,0.181161,0.22323600000000002,0.248286,0.118933,0.138156,0.16856400000000002,134.0
135000,0.28223200000000004,0.370555,0.41875500000000004,0.180978,0.223642,0.248658,0.11876700000000001,0.137985,0.168523,135.0
136000,0.283636,0.372194,0.420116,0.1808,0.224063,0.249029,0.118605,0.137818,0.168484,136.0
137000,0.285064,0.373816,0.42145699999999997,0.180626,0.22449899999999998,0.249473,0.118447,0.137653,0.168444,137.0
138000,0.286514,0.375422,0.422779,0.180456,0.224951,0.24984499999999998,0.11829100000000001,0.137491,0.168406,138.0
139000,0.287987,0.37701,0.42408,0.18029,0.225419,0.250307,0.11813900000000001,0.13733099999999998,0.16836800000000002,139.0
140000,0.289481,0.37858200000000003,0.42536199999999996,0.180128,0.225904,0.250732,0.11799000000000001,0.137174,0.168331,140.0
141000,0.290996,0.38013600000000003,0.426625,0.17997,0.226404,0.251158,0.117844,0.13702,0.168294,141.0
142000,0.292529,0.38167199999999996,0.427868,0.179815,0.226921,0.251654,0.117701,0.13686800000000002,0.168257,142.0
143000,0.294081,0.383191,0.429093,0.17966500000000002,0.227454,0.252081,0.11756099999999998,0.136718,0.168222,143.0
144000,0.29565,0.38469200000000003,0.430299,0.179518,0.228005,0.252596,0.117423,0.136571,0.168186,144.0
145000,0.29723499999999997,0.386175,0.431487,0.179375,0.22857199999999997,0.253075,0.117289,0.136427,0.168152,145.0
146000,0.298835,0.38764,0.43265699999999996,0.17923499999999998,0.22915700000000003,0.253554,0.117157,0.136285,0.16811800000000002,146.0
147000,0.300448,0.389088,0.433809,0.179099,0.229758,0.254103,0.117028,0.13614500000000002,0.16808399999999998,147.0
148000,0.302075,0.390518,0.434943,0.17896700000000001,0.23037800000000003,0.25458400000000003,0.11690199999999999,0.136008,0.168051,148.0
149000,0.303712,0.39192899999999997,0.43606000000000006,0.17883800000000002,0.231014,0.255151,0.11677799999999999,0.135873,0.168018,149.0
150000,0.305361,0.393323,0.43716000000000005,0.17871199999999998,0.231669,0.255683,0.116657,0.135741,0.167986,150.0
151000,0.30701799999999996,0.3947,0.43824300000000005,0.178589,0.232341,0.256215,0.11653800000000002,0.13560999999999998,0.167954,151.0
152000,0.308684,0.39605799999999997,0.43931000000000003,0.17847000000000002,0.23303000000000001,0.256815,0.116422,0.135483,0.167923,152.0
153000,0.310357,0.397399,0.44036000000000003,0.17835399999999998,0.233737,0.257348,0.116308,0.135357,0.167892,153.0
154000,0.312035,0.39872199999999997,0.44139300000000004,0.178241,0.23446199999999998,0.257965,0.11619600000000001,0.135233,0.16786199999999998,154.0
155000,0.313719,0.400028,0.44241099999999994,0.17813099999999998,0.23520500000000003,0.258548,0.116087,0.13511199999999998,0.16783199999999998,155.0
156000,0.315407,0.401316,0.44341400000000003,0.178024,0.235965,0.25913,0.11598,0.134993,0.167802,156.0
157000,0.31709699999999996,0.402588,0.4444,0.17792,0.23674299999999998,0.259779,0.115875,0.134876,0.167773,157.0
158000,0.318789,0.40384200000000003,0.44537200000000005,0.177819,0.237539,0.260362,0.115772,0.134761,0.167745,158.0
159000,0.320482,0.405079,0.446329,0.177721,0.23835100000000004,0.26102800000000004,0.11567100000000001,0.134648,0.167717,159.0
160000,0.322175,0.40629899999999997,0.44727100000000003,0.177625,0.239181,0.26165900000000003,0.115573,0.13453800000000002,0.167689,160.0
161000,0.323866,0.407503,0.44819799999999993,0.177532,0.24002800000000002,0.262289,0.115476,0.134429,0.16766199999999998,161.0
162000,0.325556,0.40869,0.449111,0.17744200000000002,0.240892,0.262984,0.115382,0.134322,0.16763499999999998,162.0
163000,0.32724200000000003,0.40986000000000006,0.45001,0.17735399999999998,0.24177300000000002,0.263614,0.11528900000000002,0.134218,0.16760799999999998,163.0
164000,0.328925,0.41101499999999996,0.450896,0.177269,0.242669,0.264324,0.11519800000000001,0.134115,0.16758199999999998,164.0
165000,0.33060300000000004,0.412153,0.451768,0.17718599999999998,0.24358200000000002,0.264999,0.11510899999999999,0.13401400000000002,0.16755599999999998,165.0
166000,0.332276,0.41327600000000003,0.45262600000000003,0.17710599999999999,0.244511,0.26567399999999997,0.115022,0.133915,0.16753099999999999,166.0
167000,0.333943,0.414382,0.453471,0.177028,0.245455,0.266411,0.11493699999999998,0.133818,0.167506,167.0
168000,0.33560300000000004,0.41547399999999995,0.45430299999999996,0.176952,0.246414,0.267083,0.114853,0.133722,0.167481,168.0
169000,0.337256,0.41655,0.45512299999999994,0.176878,0.24738800000000002,0.267834,0.114771,0.133629,0.167457,169.0
170000,0.3389,0.41761000000000004,0.45593,0.176807,0.248377,0.26855,0.114691,0.133537,0.167433,170.0
171000,0.340536,0.41865600000000003,0.456725,0.17673699999999998,0.249379,0.269264,0.11461199999999999,0.133447,0.16741,171.0
172000,0.342163,0.419687,0.457507,0.17667,0.250395,0.270038,0.11453499999999998,0.133358,0.16738699999999998,172.0
173000,0.34378000000000003,0.420703,0.45827799999999996,0.17660399999999998,0.251424,0.27074899999999996,0.11445899999999999,0.133271,0.167364,173.0
174000,0.345386,0.421705,0.459037,0.176541,0.252465,0.27153499999999997,0.11438499999999999,0.133186,0.16734100000000002,174.0
175000,0.346982,0.42269300000000004,0.45978500000000005,0.176479,0.253519,0.27228600000000003,0.11431300000000001,0.133103,0.167319,175.0
176000,0.348566,0.423666,0.460521,0.176419,0.25458400000000003,0.27303499999999997,0.11424200000000001,0.133021,0.167297,176.0
177000,0.350139,0.424626,0.461246,0.176361,0.255661,0.27384200000000003,0.11417200000000001,0.13294,0.167276,177.0
178000,0.351699,0.425572,0.46196000000000004,0.176305,0.256747,0.27458499999999997,0.114104,0.13286099999999998,0.167255,178.0
179000,0.353248,0.426504,0.462663,0.176251,0.257844,0.275401,0.11403699999999999,0.13278399999999999,0.167234,179.0
180000,0.354783,0.42742299999999994,0.463355,0.176198,0.25895,0.27618200000000004,0.113972,0.132708,0.167213,180.0
181000,0.356306,0.428329,0.464038,0.176146,0.26006599999999996,0.27696,0.113907,0.132634,0.167193,181.0
182000,0.357815,0.42922200000000005,0.46470900000000004,0.176097,0.261189,0.27779299999999996,0.113844,0.13256099999999998,0.167173,182.0
183000,0.359311,0.43010200000000004,0.465371,0.176048,0.26232,0.278564,0.113783,0.13248900000000002,0.167153,183.0
184000,0.360793,0.43096999999999996,0.46602299999999997,0.176001,0.26345799999999997,0.279404,0.113722,0.132419,0.167134,184.0
185000,0.362261,0.431825,0.46666499999999994,0.175956,0.26460300000000003,0.28020900000000004,0.11366300000000001,0.13235,0.167115,185.0
186000,0.363715,0.43266800000000005,0.46729799999999994,0.17591199999999999,0.265754,0.28101,0.113605,0.13228199999999998,0.167096,186.0
187000,0.365154,0.43349899999999997,0.46792100000000003,0.175869,0.26691,0.281864,0.113548,0.132216,0.167078,187.0
188000,0.366579,0.43431800000000004,0.46853500000000003,0.17582799999999998,0.268072,0.282656,0.11349200000000001,0.132151,0.16706,188.0
189000,0.36799,0.435125,0.46913900000000003,0.175788,0.269237,0.283515,0.11343800000000001,0.13208699999999998,0.167042,189.0
190000,0.369386,0.435921,0.469735,0.175749,0.270406,0.28433800000000004,0.113384,0.132025,0.167024,190.0
191000,0.370767,0.43670600000000004,0.470322,0.17571099999999998,0.27157800000000004,0.285157,0.113331,0.13196300000000002,0.167007,191.0
192000,0.372134,0.437479,0.4709,0.175675,0.272752,0.286026,0.11327999999999999,0.131903,0.16699,192.0
193000,0.373485,0.438241,0.47147,0.17563900000000002,0.273929,0.286833,0.11323,0.13184400000000002,0.166973,193.0
194000,0.374822,0.438992,0.47203100000000003,0.17560499999999998,0.275107,0.28770500000000004,0.11317999999999999,0.131786,0.166956,194.0
195000,0.376144,0.439733,0.472584,0.175572,0.27628600000000003,0.288541,0.113132,0.13172899999999998,0.16694,195.0
196000,0.37745100000000004,0.440463,0.473129,0.175539,0.277465,0.289371,0.11308399999999999,0.131674,0.166924,196.0
197000,0.378743,0.44118199999999996,0.47366499999999995,0.175508,0.278645,0.290249,0.11303800000000001,0.131619,0.166908,197.0
198000,0.38001999999999997,0.441891,0.47419399999999995,0.175478,0.279823,0.291066,0.11299200000000001,0.13156600000000002,0.166892,198.0
199000,0.381282,0.442591,0.47471599999999997,0.175448,0.281001,0.29194499999999995,0.112947,0.13151300000000002,0.166877,199.0
200000,0.38253000000000004,0.44328,0.475229,0.17542,0.28217600000000004,0.292788,0.112903,0.131462,0.16686199999999998,200.0
201000,0.383763,0.443959,0.475735,0.17539200000000002,0.28335,0.293624,0.11285999999999999,0.131411,0.166847,201.0
202000,0.384981,0.444629,0.476234,0.17536600000000002,0.284521,0.294506,0.112818,0.13136199999999998,0.16683299999999998,202.0
203000,0.386184,0.44528999999999996,0.476725,0.17534,0.28569,0.29532800000000003,0.112777,0.131313,0.166818,203.0
204000,0.387373,0.445941,0.47721,0.175315,0.286855,0.296209,0.11273599999999999,0.13126500000000002,0.166804,204.0
205000,0.388547,0.446583,0.477687,0.17529,0.288016,0.297053,0.112696,0.131219,0.16679000000000002,205.0
206000,0.389707,0.447215,0.47815799999999997,0.175267,0.289173,0.29789099999999996,0.112657,0.131173,0.166777,206.0
207000,0.390852,0.44783900000000004,0.478621,0.175244,0.29032600000000003,0.298772,0.11261900000000001,0.131128,0.16676300000000002,207.0
208000,0.391984,0.448454,0.47907799999999995,0.175222,0.291473,0.299593,0.11258199999999999,0.13108399999999998,0.16675,208.0
209000,0.39310100000000003,0.449061,0.479529,0.1752,0.292616,0.300471,0.112545,0.13104000000000002,0.166737,209.0
