#,Name,Reaction,Rate Law
365,CamR_Ca3_ACD_CaMKII phosphorylation,CamR_Ca3_ACD_CaMKII -> CamR_Ca3_ACD_CaMKIIp,Mass action (irreversible)
366,CamR_Ca3_BCD_CaMKII phosphorylation,CamR_Ca3_BCD_CaMKII -> CamR_Ca3_BCD_CaMKIIp,Mass action (irreversible)
367,CamR_Ca4_ABCD_CaMKII phosphorylation,CamR_Ca4_ABCD_CaMKII -> CamR_Ca4_ABCD_CaMKIIp,Mass action (irreversible)
368,CaMKIIp binding to CamR,CamR + CaMKIIp -> CamR_CaMKIIp,Mass action (irreversible)
369,CaMKIIp dissociating from CamR_CaMKIIp,CamR_CaMKIIp -> CamR + CaMKIIp,Mass action (irreversible)
370,CaMKIIp binding to CamR_Ca1_A,CamR_Ca1_A + CaMKIIp -> CamR_Ca1_A_CaMKIIp,Mass action (irreversible)
371,CaMKIIp dissociating from CamR_Ca1_A_CaMKIIp,CamR_Ca1_A_CaMKIIp -> CamR_Ca1_A + CaMKIIp,Mass action (irreversible)
372,CaMKIIp binding to CamR_Ca1_B,CamR_Ca1_B + CaMKIIp -> CamR_Ca1_B_CaMKIIp,Mass action (irreversible)
373,CaMKIIp dissociating from CamR_Ca1_B_CaMKIIp,CamR_Ca1_B_CaMKIIp -> CamR_Ca1_B + CaMKIIp,Mass action (irreversible)
374,CaMKIIp binding to CamR_Ca1_C,CamR_Ca1_C + CaMKIIp -> CamR_Ca1_C_CaMKIIp,Mass action (irreversible)
375,CaMKIIp dissociating from CamR_Ca1_C_CaMKIIp,CamR_Ca1_C_CaMKIIp -> CamR_Ca1_C + CaMKIIp,Mass action (irreversible)
376,CaMKIIp binding to CamR_Ca1_D,CamR_Ca1_D + CaMKIIp -> CamR_Ca1_D_CaMKIIp,Mass action (irreversible)
377,CaMKIIp dissociating from CamR_Ca1_D_CaMKIIp,CamR_Ca1_D_CaMKIIp -> CamR_Ca1_D + CaMKIIp,Mass action (irreversible)
378,CaMKIIp binding to CamR_Ca2_AB,CamR_Ca2_AB + CaMKIIp -> CamR_Ca2_AB_CaMKIIp,Mass action (irreversible)
379,CaMKIIp dissociating from CamR_Ca2_AB_CaMKIIp,CamR_Ca2_AB_CaMKIIp -> CamR_Ca2_AB + CaMKIIp,Mass action (irreversible)
380,CaMKIIp binding to CamR_Ca2_AC,CamR_Ca2_AC + CaMKIIp -> CamR_Ca2_AC_CaMKIIp,Mass action (irreversible)
381,CaMKIIp dissociating from CamR_Ca2_AC_CaMKIIp,CamR_Ca2_AC_CaMKIIp -> CamR_Ca2_AC + CaMKIIp,Mass action (irreversible)
382,CaMKIIp binding to CamR_Ca2_AD,CamR_Ca2_AD + CaMKIIp -> CamR_Ca2_AD_CaMKIIp,Mass action (irreversible)
383,CaMKIIp dissociating from CamR_Ca2_AD_CaMKIIp,CamR_Ca2_AD_CaMKIIp -> CamR_Ca2_AD + CaMKIIp,Mass action (irreversible)
384,CaMKIIp binding to CamR_Ca2_BC,CamR_Ca2_BC + CaMKIIp -> CamR_Ca2_BC_CaMKIIp,Mass action (irreversible)
385,CaMKIIp dissociating from CamR_Ca2_BC_CaMKIIp,CamR_Ca2_BC_CaMKIIp -> CamR_Ca2_BC + CaMKIIp,Mass action (irreversible)
386,CaMKIIp binding to CamR_Ca2_BD,CamR_Ca2_BD + CaMKIIp -> CamR_Ca2_BD_CaMKIIp,Mass action (irreversible)
387,CaMKIIp dissociating from CamR_Ca2_BD_CaMKIIp,CamR_Ca2_BD_CaMKIIp -> CamR_Ca2_BD + CaMKIIp,Mass action (irreversible)
388,CaMKIIp binding to CamR_Ca2_CD,CamR_Ca2_CD + CaMKIIp -> CamR_Ca2_CD_CaMKIIp,Mass action (irreversible)
389,CaMKIIp dissociating from CamR_Ca2_CD_CaMKIIp,CamR_Ca2_CD_CaMKIIp -> CamR_Ca2_CD + CaMKIIp,Mass action (irreversible)
390,CaMKIIp binding to CamR_Ca3_ABC,CamR_Ca3_ABC + CaMKIIp -> CamR_Ca3_ABC_CaMKIIp,Mass action (irreversible)
391,CaMKIIp dissociating from CamR_Ca3_ABC_CaMKIIp,CamR_Ca3_ABC_CaMKIIp -> CamR_Ca3_ABC + CaMKIIp,Mass action (irreversible)
392,CaMKIIp binding to CamR_Ca3_ABD,CamR_Ca3_ABD + CaMKIIp -> CamR_Ca3_ABD_CaMKIIp,Mass action (irreversible)
393,CaMKIIp dissociating from CamR_Ca3_ABD_CaMKIIp,CamR_Ca3_ABD_CaMKIIp -> CamR_Ca3_ABD + CaMKIIp,Mass action (irreversible)
394,CaMKIIp binding to CamR_Ca3_ACD,CamR_Ca3_ACD + CaMKIIp -> CamR_Ca3_ACD_CaMKIIp,Mass action (irreversible)
395,CaMKIIp dissociating from CamR_Ca3_ACD_CaMKIIp,CamR_Ca3_ACD_CaMKIIp -> CamR_Ca3_ACD + CaMKIIp,Mass action (irreversible)
396,CaMKIIp binding to CamR_Ca3_BCD,CamR_Ca3_BCD + CaMKIIp -> CamR_Ca3_BCD_CaMKIIp,Mass action (irreversible)
397,CaMKIIp dissociating from CamR_Ca3_BCD_CaMKIIp,CamR_Ca3_BCD_CaMKIIp -> CamR_Ca3_BCD + CaMKIIp,Mass action (irreversible)
398,CaMKIIp binding to CamR_Ca4_ABCD,CamR_Ca4_ABCD + CaMKIIp -> CamR_Ca4_ABCD_CaMKIIp,Mass action (irreversible)
399,CaMKIIp dissociating from CamR_Ca4_ABCD_CaMKIIp,CamR_Ca4_ABCD_CaMKIIp -> CamR_Ca4_ABCD + CaMKIIp,Mass action (irreversible)
400,Ca binding to CamR_CaMKIIp site A,CamR_CaMKIIp + Ca -> CamR_Ca1_A_CaMKIIp,Mass action (irreversible)
401,Ca binding to CamR_CaMKIIp site B,CamR_CaMKIIp + Ca -> CamR_Ca1_B_CaMKIIp,Mass action (irreversible)
402,Ca binding to CamR_CaMKIIp site C,CamR_CaMKIIp + Ca -> CamR_Ca1_C_CaMKIIp,Mass action (irreversible)
403,Ca binding to CamR_CaMKIIp site D,CamR_CaMKIIp + Ca -> CamR_Ca1_D_CaMKIIp,Mass action (irreversible)
404,Ca dissociating from CamR_Ca1_A_CaMKIIp site A,CamR_Ca1_A_CaMKIIp -> CamR_CaMKIIp + Ca,Mass action (irreversible)
405,Ca dissociating from CamR_Ca1_B_CaMKIIp site B,CamR_Ca1_B_CaMKIIp -> CamR_CaMKIIp + Ca,Mass action (irreversible)
406,Ca dissociating from CamR_Ca1_C_CaMKIIp site C,CamR_Ca1_C_CaMKIIp -> CamR_CaMKIIp + Ca,Mass action (irreversible)
407,Ca dissociating from CamR_Ca1_D_CaMKIIp site D,CamR_Ca1_D_CaMKIIp -> CamR_CaMKIIp + Ca,Mass action (irreversible)
408,Ca binding to CamR_Ca1_A_CaMKIIp site B,CamR_Ca1_A_CaMKIIp + Ca -> CamR_Ca2_AB_CaMKIIp,Mass action (irreversible)
409,Ca binding to CamR_Ca1_A_CaMKIIp site C,CamR_Ca1_A_CaMKIIp + Ca -> CamR_Ca2_AC_CaMKIIp,Mass action (irreversible)
410,Ca binding to CamR_Ca1_A_CaMKIIp site D,CamR_Ca1_A_CaMKIIp + Ca -> CamR_Ca2_AD_CaMKIIp,Mass action (irreversible)
