Time	[Ca]	Values[AMPAR_bar]	Values[CaMKII_active_ratio]	Values[CaMKIIp_bar]	Values[CamCaMKII_bar]	Values[CamR_ratio]	Values[Dp_bar]	Values[PKA_bar]	Values[PP1a_bar]	Values[PP2B_bar]
0.152	1.34655e-09	0.296952	0.0685074	0.0173513	0.159728	0.0480997	0.973102	0.01	0.155246	0.00302127
0.153	1.34142e-09	0.296952	0.0685074	0.0173513	0.159728	0.0480997	0.973102	0.01	0.155246	0.00302127
0.154	1.34072e-09	0.296952	0.0685075	0.0173513	0.159728	0.0480997	0.973102	0.01	0.155246	0.00302127
0.155	1.34385e-09	0.296952	0.0685075	0.0173513	0.159728	0.0480997	0.973102	0.01	0.155246	0.00302127
0.156	1.35037e-09	0.296952	0.0685075	0.0173513	0.159728	0.0480997	0.973102	0.01	0.155246	0.00302127
0.157	1.35995e-09	0.296952	0.0685075	0.0173513	0.159728	0.0480997	0.973102	0.01	0.155246	0.00302127
0.158	1.37236e-09	0.296952	0.0685075	0.0173513	0.159728	0.0480996	0.973102	0.01	0.155246	0.00302127
0.159	1.38742e-09	0.296952	0.0685074	0.0173513	0.159728	0.0480996	0.973102	0.01	0.155246	0.00302126
0.16	1.40501e-09	0.296952	0.0685074	0.0173513	0.159728	0.0480996	0.973102	0.01	0.155246	0.00302126
0.161	1.42503e-09	0.296952	0.0685074	0.0173513	0.159728	0.0480995	0.973102	0.01	0.155246	0.00302126
0.162	1.44741e-09	0.296952	0.0685074	0.0173513	0.159727	0.0480995	0.973102	0.01	0.155246	0.00302126
0.163	1.47212e-09	0.296952	0.0685073	0.0173513	0.159727	0.0480994	0.973102	0.01	0.155246	0.00302125
0.164	1.49912e-09	0.296952	0.0685073	0.0173513	0.159727	0.0480994	0.973102	0.01	0.155246	0.00302125
0.165	1.52841e-09	0.296952	0.0685072	0.0173513	0.159727	0.0480993	0.973102	0.01	0.155246	0.00302125
0.166	1.56002e-09	0.296952	0.0685072	0.0173513	0.159727	0.0480993	0.973102	0.01	0.155246	0.00302124
0.167	1.59398e-09	0.296952	0.0685071	0.0173513	0.159727	0.0480992	0.973102	0.01	0.155246	0.00302124
0.168	1.63034e-09	0.296952	0.0685071	0.0173513	0.159727	0.0480992	0.973102	0.01	0.155246	0.00302123
0.169	1.66922e-09	0.296952	0.068507	0.0173513	0.159727	0.0480991	0.973102	0.01	0.155246	0.00302123
0.17	1.71073e-09	0.296952	0.0685069	0.0173513	0.159726	0.0480991	0.973102	0.01	0.155246	0.00302122
0.171	1.75505e-09	0.296952	0.0685068	0.0173513	0.159726	0.048099	0.973102	0.01	0.155246	0.00302122
0.172	1.80239e-09	0.296952	0.0685068	0.0173513	0.159726	0.048099	0.973102	0.01	0.155246	0.00302121
0.173	1.85304e-09	0.296952	0.0685067	0.0173513	0.159726	0.0480989	0.973102	0.01	0.155246	0.00302121
0.174	1.90737e-09	0.296952	0.0685066	0.0173513	0.159726	0.0480988	0.973102	0.01	0.155246	0.0030212
0.175	1.96588e-09	0.296952	0.0685065	0.0173513	0.159726	0.0480988	0.973102	0.01	0.155246	0.00302119
0.176	2.02922e-09	0.296952	0.0685065	0.0173513	0.159725	0.0480987	0.973102	0.01	0.155246	0.00302119
0.177	2.0983e-09	0.296952	0.0685064	0.0173513	0.159725	0.0480987	0.973102	0.01	0.155246	0.00302118
0.178	2.17439e-09	0.296952	0.0685063	0.0173513	0.159725	0.0480986	0.973102	0.01	0.155246	0.00302118
0.179	2.25931e-09	0.296952	0.0685063	0.0173513	0.159725	0.0480986	0.973102	0.01	0.155246	0.00302117
0.18	2.3559e-09	0.296952	0.0685062	0.0173513	0.159725	0.0480986	0.973102	0.01	0.155246	0.00302116
0.181	2.46882e-09	0.296952	0.0685061	0.0173513	0.159725	0.0480985	0.973102	0.01	0.155246	0.00302116
0.182	2.60676e-09	0.296952	0.0685061	0.0173513	0.159724	0.0480985	0.973102	0.01	0.155246	0.00302115
0.183	2.78942e-09	0.296952	0.068506	0.0173513	0.159724	0.0480985	0.973102	0.01	0.155246	0.00302115
0.184	3.08867e-09	0.296952	0.0685059	0.0173513	0.159724	0.0480985	0.973102	0.01	0.155246	0.00302115
0.185	7.1263e-09	0.296952	0.0685059	0.0173513	0.159724	0.0480985	0.973102	0.01	0.155246	0.00302114
0.186	6.20027e-09	0.296952	0.0685059	0.0173513	0.159724	0.0480987	0.973102	0.01	0.155246	0.00302114
0.187	3.6879e-09	0.296952	0.068506	0.0173513	0.159724	0.0480988	0.973102	0.01	0.155246	0.00302114
0.188	2.75325e-09	0.296952	0.068506	0.0173513	0.159724	0.0480989	0.973102	0.01	0.155246	0.00302115
0.189	2.25607e-09	0.296952	0.0685061	0.0173513	0.159724	0.048099	0.973102	0.01	0.155246	0.00302115
0.19	1.95664e-09	0.296952	0.0685062	0.0173513	0.159725	0.048099	0.973102	0.01	0.155246	0.00302116
0.191	1.76226e-09	0.296952	0.0685063	0.0173513	0.159725	0.0480991	0.973102	0.01	0.155246	0.00302116
0.192	1.63035e-09	0.296952	0.0685063	0.0173513	0.159725	0.0480991	0.973102	0.01	0.155246	0.00302116
0.193	1.5385e-09	0.296952	0.0685064	0.0173513	0.159725	0.0480991	0.973102	0.01	0.155246	0.00302117
